,country,year,ppl_acc,ppl_no_acc,gdp_capita,e_non_ebt,e_ebt,e_co2_em
107,Azerbaijan,1997,7666952,171298,2243,121.00419701999999,4.505263158,16207125.641826203
108,Azerbaijan,1998,7756925,156075,2170,120.79389171,5.134210526,19155842.255938336
109,Azerbaijan,1999,7743268,239483,2389,121.55531492,3.963157895,17645665.028628554
110,Azerbaijan,2000,7960727,87873,2576,127.00981558,4.036842105,17628134.768171567
111,Azerbaijan,2001,7996977,114223,2770,122.95950814,3.4236842110000003,16876545.491315577
112,Azerbaijan,2002,8171950,0,2906,119.41148716999999,5.315789474,16244337.751388578
113,Azerbaijan,2003,8143675,90425,3084,128.43369921000001,6.5,17922466.75720413
114,Azerbaijan,2004,8227879,78621,3305,145.81171848999998,7.25,18357134.172938377
115,Azerbaijan,2005,8325636,66214,4806,158.06811999,7.919473684,19465609.700028952
116,Azerbaijan,2006,8442127,42423,6827,156.76603358,6.6263157889999995,22568249.009792782
117,Azerbaijan,2007,8543726,37574,9354,141.62028284299998,6.221052632,16581441.105885424
118,Azerbaijan,2008,8740773,22627,10216,143.44444511,5.8736842110000005,17183693.61032332
119,Azerbaijan,2009,8936930,10313,10804,125.87451003000001,6.080263158,15005875.877567992
120,Azerbaijan,2010,9051224,3108,12866,121.14970567,9.070526315,13018651.934754865
121,Azerbaijan,2011,9163909,9173,16176,137.840195193,7.0415789470000005,14715226.91705908
122,Azerbaijan,2012,9295757,27,16407,144.46766353,4.792105263,17177130.670363277
123,Azerbaijan,2013,9416801,0,15841,149.369868583,4.099210526,16612036.11412255
124,Azerbaijan,2014,9535079,0,16025,152.86011935,3.662894737,17279412.098133624
125,Bangladesh,1990,9073155,97115487,1382,71.24242474,2.326315789,6035931.084484093
126,Bangladesh,1991,15537150,93190282,1401,68.77665232,2.205263158,6804816.0247857
127,Bangladesh,1992,14952956,96268982,1398,75.35678954000001,2.094736842,7843756.737259893
128,Bangladesh,1993,18067151,95627988,1396,83.63790525,1.6,8037353.927579692
129,Bangladesh,1994,20680444,95501823,1439,88.18550458,2.228947368,8571689.160072498
130,Bangladesh,1995,24646762,94060109,1477,106.00862549,0.9789473679999999,9285419.80738344
131,Bangladesh,1996,28112485,93157160,1496,110.01724944,1.944736842,9654564.773107907
132,Bangladesh,1997,27743439,96111201,1459,115.76473831999999,1.8921052630000001,9545218.193161493
133,Bangladesh,1998,35368807,91079158,1413,123.00138575999999,2.276315789,9844270.21937295
134,Bangladesh,1999,39141242,89888449,1352,124.52219582000001,2.192105263,11192342.450151332
135,Bangladesh,2000,42105998,89475245,1369,133.90604507,1.971052632,11834721.706409736
136,Bangladesh,2001,46935905,87171255,1384,152.66776570000002,2.613157895,13785758.760465188
137,Bangladesh,2002,50964512,85636155,1443,158.32492647,1.97131579,14404501.346039016
138,Bangladesh,2003,55069818,83949183,1468,167.94384984,1.9734210529999998,14655632.258234987
139,Bangladesh,2004,57370841,83936648,1479,173.80068328000002,1.9760526319999998,17049707.383536913
140,Bangladesh,2005,63439576,79991525,1539,184.84833423,1.98,17990228.84659418
141,Bangladesh,2006,73447333,71920671,1657,196.23809459999998,1.989473684,20763751.067002404
142,Bangladesh,2007,68419724,78719467,1813,205.11357275999995,1.998947369,21214403.36653317
143,Bangladesh,2008,76262645,72543169,1997,216.49462888,2.547631579,23367788.677323855
144,Bangladesh,2009,80693155,69761553,2144,238.80289542,1.179473685,25415894.364619594
